                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.48935,                0.59238,                0.94919,                0.90246,                0.88075,                0.95835,                0.82362,                0.43473,                0.55481,                0.92153,             0.00074186,             0.00074186,             0.00074186
                     37,                0.50935,                0.63436,                0.96152,                0.92191,                 0.8625,                0.92096,                0.80408,                 0.4748,                0.57996,                0.94589,             0.00072164,             0.00072164,             0.00072164
                     38,                0.48669,                0.58803,                0.96499,                0.93191,                 0.8625,                  0.917,                0.80018,                0.44809,                0.56876,                0.92575,             0.00070143,             0.00070143,             0.00070143
                     39,                0.56664,                 1.0071,                 1.0414,                0.91138,                0.88889,                0.93149,                 0.8146,                0.42531,                0.54196,                0.91527,             0.00068122,             0.00068122,             0.00068122
                     40,                 0.4842,                0.51524,                0.93346,                0.92146,                 0.8989,                 0.9369,                0.83618,                0.37854,                0.52801,                0.89211,             0.00066101,             0.00066101,             0.00066101
                     41,                0.44643,                0.53364,                0.91903,                0.89241,                0.91866,                0.93566,                0.83663,                0.35996,                0.50309,                0.88624,              0.0006408,              0.0006408,              0.0006408
                     42,                0.49543,                0.50894,                0.96841,                0.85204,                0.90602,                0.93255,                0.83294,                0.38742,                0.51256,                0.88955,             0.00062059,             0.00062059,             0.00062059
                     43,                0.45811,                0.45798,                0.95079,                 0.8319,                 0.9153,                0.93085,                0.84184,                 0.3812,                0.49962,                  0.888,             0.00060038,             0.00060038,             0.00060038
                     44,                0.51702,                0.65015,                0.97745,                0.80201,                0.92101,                 0.9224,                 0.8411,                0.36957,                0.49736,                0.88614,             0.00058017,             0.00058017,             0.00058017
                     45,                0.49987,                0.98193,                 1.0453,                0.84167,                0.89969,                0.93417,                0.84597,                0.37435,                0.58272,                 0.8841,             0.00055996,             0.00055996,             0.00055996
                     46,                0.54371,                0.69024,                 1.0403,                0.93935,                 0.8988,                 0.9598,                0.86288,                0.40573,                0.49754,                0.89598,             0.00053975,             0.00053975,             0.00053975
                     47,                0.44553,                0.46351,                0.93646,                0.93764,                0.88975,                0.96127,                0.86289,                0.40097,                0.44332,                0.89909,             0.00051954,             0.00051954,             0.00051954
                     48,                0.51579,                0.56993,                 1.0088,                0.92495,                0.90478,                0.95701,                0.86226,                0.39081,                0.44184,                0.89399,             0.00049933,             0.00049933,             0.00049933
                     49,                0.45937,                0.47868,                0.92941,                0.89236,                0.94408,                0.96032,                0.87376,                0.36605,                0.41464,                0.88089,             0.00047912,             0.00047912,             0.00047912
                     50,                0.45821,                0.57034,                0.94225,                0.91777,                0.90714,                0.96069,                0.88295,                0.36616,                0.40407,                0.87848,             0.00045891,             0.00045891,             0.00045891
                     51,                0.43301,                0.45523,                 0.9487,                0.96146,                0.90113,                0.97235,                0.87297,                0.37723,                0.41484,                0.87838,              0.0004387,              0.0004387,              0.0004387
                     52,                0.46953,                0.49552,                0.95387,                0.93818,                0.92268,                 0.9671,                0.87017,                0.35521,                0.41335,                0.88366,             0.00041849,             0.00041849,             0.00041849
                     53,                 0.4153,                0.43099,                0.91569,                 0.9311,                0.91535,                0.96014,                0.86795,                0.35525,                0.40892,                 0.8893,             0.00039828,             0.00039828,             0.00039828
                     54,                0.41705,                0.43237,                0.92788,                0.93191,                0.94736,                0.95956,                0.86903,                0.35978,                0.39582,                0.89288,             0.00037807,             0.00037807,             0.00037807
