                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.5952,                0.68728,                0.99789,                0.82256,                0.84466,                0.89926,                0.70939,                0.55906,                0.74664,                 1.0087,              0.0012734,              0.0012734,              0.0012734
                     36,                0.58514,                0.83724,                 1.0094,                0.82725,                0.86997,                0.90421,                0.77905,                0.47782,                0.74449,                 0.9524,              0.0012687,              0.0012687,              0.0012687
                     37,                0.58882,                0.68757,                 1.0008,                0.71138,                0.85487,                 0.7614,                0.61744,                0.53877,                0.91133,                0.99629,               0.001264,               0.001264,               0.001264
                     38,                0.54569,                0.70198,                0.99063,                0.71224,                 0.8248,                0.79958,                 0.6778,                0.53805,                0.83458,                0.99482,              0.0012592,              0.0012592,              0.0012592
                     39,                0.69858,                 1.0712,                 1.1598,                0.84353,                0.88917,                0.88387,                0.77034,                0.50973,                0.62739,                0.99059,              0.0012545,              0.0012545,              0.0012545
                     40,                0.54283,                0.60735,                0.95443,                0.87222,                0.88187,                0.92011,                0.78415,                0.49171,                0.57528,                 0.9613,              0.0012498,              0.0012498,              0.0012498
                     41,                0.52214,                0.56371,                0.95147,                0.79133,                0.94881,                0.91362,                0.79085,                0.45396,                0.65018,                0.92839,              0.0012451,              0.0012451,              0.0012451
                     42,                0.57342,                  0.612,                0.99886,                0.78695,                0.89081,                0.88139,                0.76671,                0.47644,                0.83218,                0.95406,              0.0012404,              0.0012404,              0.0012404
                     43,                0.53599,                0.57727,                0.98403,                0.87978,                0.90854,                0.93486,                0.79577,                 0.4448,                0.68321,                0.91961,              0.0012357,              0.0012357,              0.0012357
                     44,                0.60089,                0.70228,                 1.0125,                0.88903,                0.86429,                0.90334,                 0.7828,                0.45453,                0.70461,                0.92351,              0.0012309,              0.0012309,              0.0012309
                     45,                0.64539,                 1.2123,                 1.0902,                0.81416,                0.86745,                0.88195,                0.75173,                0.51992,                 0.8014,                0.95784,              0.0012262,              0.0012262,              0.0012262
                     46,                0.57642,                0.63327,                 1.0594,                0.88464,                0.78721,                0.87859,                0.72707,                0.52421,                 1.0731,                 0.9686,              0.0012215,              0.0012215,              0.0012215
                     47,                0.54152,                0.61931,                0.99943,                0.93486,                0.80691,                0.89673,                0.78911,                0.48167,                0.80075,                0.94192,              0.0012168,              0.0012168,              0.0012168
                     48,                 0.5649,                0.97176,                 1.0327,                0.87471,                0.87408,                0.88566,                0.78324,                0.43899,                 0.6765,                0.92198,              0.0012121,              0.0012121,              0.0012121
                     49,                0.51927,                0.56551,                0.94717,                0.90352,                0.80744,                0.87682,                0.78499,                0.45029,                0.78769,                0.93523,              0.0012074,              0.0012074,              0.0012074
                     50,                0.56993,                 0.6523,                0.99251,                0.81281,                0.78602,                0.89116,                0.80241,                0.43308,                0.84212,                0.92313,              0.0012026,              0.0012026,              0.0012026
                     51,                0.56964,                0.60304,                 1.0253,                0.80056,                 0.8132,                 0.8861,                0.79903,                0.42494,                0.72953,                0.92917,              0.0011979,              0.0011979,              0.0011979
                     52,                0.57061,                0.65847,                0.99294,                0.90849,                 0.9246,                0.96394,                0.88489,                0.39609,                0.49975,                0.89864,              0.0011932,              0.0011932,              0.0011932
                     53,                0.50544,                0.52386,                0.95302,                0.88688,                0.87083,                 0.9451,                0.85799,                0.40982,                0.55702,                0.90354,              0.0011885,              0.0011885,              0.0011885
                     54,                0.50163,                0.54122,                0.97823,                0.89905,                 0.8586,                 0.9273,                0.79339,                 0.4935,                0.77555,                0.95589,              0.0011838,              0.0011838,              0.0011838
                     55,                0.61642,                0.80571,                 1.0666,                0.94145,                0.83709,                0.90456,                0.72296,                0.52522,                0.88235,                0.98706,              0.0011791,              0.0011791,              0.0011791
                     56,                0.57323,                0.64659,                 1.0144,                0.85118,                0.88498,                0.89792,                0.79078,                0.47578,                0.77161,                0.95597,              0.0011744,              0.0011744,              0.0011744
                     57,                0.56046,                0.63909,                  1.004,                0.81283,                 0.9619,                0.94576,                 0.8116,                0.43928,                0.62303,                0.94202,              0.0011696,              0.0011696,              0.0011696
                     58,                0.46934,                0.50999,                0.94575,                0.93102,                0.91081,                0.97406,                0.85344,                0.44191,                0.52782,                0.94372,              0.0011649,              0.0011649,              0.0011649
                     59,                0.57408,                0.67377,                 1.0711,                0.92128,                0.87168,                 0.9575,                0.84674,                0.43648,                0.53982,                0.92599,              0.0011602,              0.0011602,              0.0011602
                     60,                0.49993,                0.54312,                0.96936,                0.89423,                0.96488,                0.96223,                0.86803,                0.41179,                0.49734,                0.90456,              0.0011555,              0.0011555,              0.0011555
