                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84031,                 2.9314,                  1.257,                0.57312,                0.70298,                0.68058,                0.56015,                0.51062,                 3.5156,                 1.0336,             0.00012861,             0.00012861,             0.00012861
                      2,                0.68207,                 1.5837,                 1.1547,                0.75266,                0.67321,                0.64099,                0.59037,                0.30519,                 3.1586,                0.85795,             0.00026907,             0.00026907,             0.00026907
                      3,                  0.579,                 1.2999,                 1.0421,                0.64909,                0.78685,                0.81369,                0.65952,                0.42526,                 2.1973,                 0.9082,             0.00040695,             0.00040695,             0.00040695
                      4,                0.57168,                 1.0167,                0.98286,                0.46431,                0.84053,                0.72427,                0.59044,                  0.458,                  3.212,                0.91745,             0.00054226,             0.00054226,             0.00054226
                      5,                0.60088,                0.99114,                 1.0079,                0.76668,                0.78196,                0.80608,                0.63298,                 0.6501,                 1.5059,                  1.039,               0.000675,               0.000675,               0.000675
                      6,                0.63621,                 1.0475,                  1.047,                0.58332,                0.74861,                0.74126,                0.59065,                0.66446,                 1.8916,                0.97678,             0.00080517,             0.00080517,             0.00080517
                      7,                0.75366,                 1.0751,                  1.104,                0.64461,                0.77351,                0.77454,                0.59461,                0.64756,                  1.982,                0.99674,             0.00093277,             0.00093277,             0.00093277
                      8,                0.66299,                0.93302,                 1.0147,                0.49835,                0.71038,                0.70601,                0.51057,                0.74897,                 2.0327,                 1.0994,              0.0010578,              0.0010578,              0.0010578
                      9,                0.73775,                 1.0489,                 1.0581,                0.62967,                 0.6994,                0.67764,                0.53282,                0.66268,                 1.5344,                 1.0923,              0.0011802,              0.0011802,              0.0011802
                     10,                0.69201,                 0.9846,                 1.0528,                0.69508,                0.61131,                0.63007,                0.45936,                 1.0839,                 3.3382,                 1.5049,              0.0013001,              0.0013001,              0.0013001
                     11,                0.70701,                0.91227,                 1.0731,                0.65898,                0.64338,                0.75358,                0.49623,                0.96951,                 2.7965,                 1.1344,              0.0013004,              0.0013004,              0.0013004
                     12,                0.72388,                0.89799,                  1.059,                 0.5143,                0.74323,                0.68418,                0.49309,                 0.8254,                 3.0604,                 1.0904,              0.0013004,              0.0013004,              0.0013004
                     13,                0.74821,                0.91384,                 1.0765,                0.75286,                0.76027,                0.80203,                0.58968,                0.80219,                 1.4615,                 1.1677,              0.0012875,              0.0012875,              0.0012875
                     14,                0.69651,                0.91047,                 1.0824,                0.61505,                0.72661,                0.71337,                0.49851,                0.89293,                 2.5084,                 1.2729,              0.0012747,              0.0012747,              0.0012747
                     15,                 0.7295,                0.92325,                 1.1093,                0.63887,                 0.6752,                0.73013,                0.51478,                0.81341,                 2.7024,                 1.1385,              0.0012618,              0.0012618,              0.0012618
                     16,                0.70683,                0.86927,                 1.1035,                0.40625,                0.69922,                0.53567,                0.41736,                0.73591,                   4.79,                 1.0933,              0.0012489,              0.0012489,              0.0012489
                     17,                0.61702,                0.75315,                 1.0116,                0.60457,                0.64858,                0.58509,                0.46447,                0.70009,                 4.3788,                 1.1159,              0.0012361,              0.0012361,              0.0012361
                     18,                0.71438,                0.92686,                 1.0941,                0.65379,                0.64895,                0.76532,                 0.6153,                 0.6527,                 1.7885,                  1.027,              0.0012232,              0.0012232,              0.0012232
                     19,                0.69153,                0.92072,                 1.0771,                0.64066,                0.86131,                0.83025,                0.63622,                0.69348,                 1.2099,                 0.9981,              0.0012104,              0.0012104,              0.0012104
                     20,                0.64377,                0.82076,                 1.0455,                0.70975,                0.81467,                0.81956,                0.67663,                0.53382,                 1.1558,                0.95473,              0.0011975,              0.0011975,              0.0011975
                     21,                  0.641,                0.75987,                 1.0239,                0.57959,                0.61131,                0.63156,                0.49626,                0.61747,                 1.8584,                 1.0074,              0.0011846,              0.0011846,              0.0011846
                     22,                0.66622,                0.81369,                 1.0281,                0.58706,                0.54762,                0.56723,                0.43675,                0.69123,                 1.2749,                 1.1055,              0.0011718,              0.0011718,              0.0011718
                     23,                0.63989,                0.85508,                 1.0281,                0.67289,                0.73155,                0.72094,                0.57687,                 0.5771,                0.89607,                0.99496,              0.0011589,              0.0011589,              0.0011589
                     24,                0.70396,                0.86785,                 1.0842,                0.66044,                0.81845,                0.78145,                 0.6253,                0.54841,                0.89864,                0.94154,              0.0011461,              0.0011461,              0.0011461
                     25,                0.63477,                  0.794,                 1.0452,                0.83918,                0.86141,                 0.8927,                0.74185,                0.51532,                 0.8088,                0.92578,              0.0011332,              0.0011332,              0.0011332
                     26,                0.61839,                0.75519,                 1.0494,                0.78599,                 0.9506,                0.90074,                0.76348,                0.49218,                 0.7239,                0.92109,              0.0011203,              0.0011203,              0.0011203
                     27,                0.58152,                0.69107,                 1.0049,                0.71651,                0.77551,                0.74033,                0.64827,                 0.4925,                0.93905,                 0.9302,              0.0011075,              0.0011075,              0.0011075
                     28,                0.57756,                0.67312,                 1.0049,                 0.6948,                0.68652,                0.69947,                0.59076,                0.49927,                 1.0868,                0.94202,              0.0010946,              0.0010946,              0.0010946
                     29,                0.54363,                0.60036,                0.98077,                0.76565,                0.77024,                0.79527,                0.69814,                0.47483,                0.89626,                0.93086,              0.0010818,              0.0010818,              0.0010818
                     30,                0.59402,                0.69758,                 1.0092,                0.90016,                0.75203,                0.85446,                0.73275,                0.50498,                0.78259,                0.94319,              0.0010689,              0.0010689,              0.0010689
                     31,                0.58947,                0.66497,                 1.0155,                0.83773,                 0.8221,                0.86705,                0.74121,                0.45484,                0.61845,                0.92656,               0.001056,               0.001056,               0.001056
                     32,                0.61118,                0.69161,                 1.0266,                0.76926,                0.89773,                0.87925,                0.79251,                0.41551,                0.56559,                0.88753,              0.0010432,              0.0010432,              0.0010432
                     33,                0.56707,                0.66918,                0.99248,                0.84657,                0.90417,                0.91878,                0.78353,                0.44451,                0.58107,                 0.9008,              0.0010303,              0.0010303,              0.0010303
                     34,                0.57067,                0.63224,                0.99168,                0.90341,                0.90121,                0.96004,                 0.7956,                 0.4706,                0.56951,                0.90263,              0.0010174,              0.0010174,              0.0010174
                     35,                0.59321,                0.69539,                 1.0137,                0.89806,                0.91571,                0.95831,                0.82483,                0.46117,                0.50952,                0.89755,              0.0010046,              0.0010046,              0.0010046
                     36,                0.54809,                0.63461,                 1.0053,                0.90195,                0.88784,                0.94974,                0.82783,                0.48715,                0.56692,                0.90549,             0.00099173,             0.00099173,             0.00099173
                     37,                0.57393,                0.61023,                 1.0011,                0.90068,                0.85454,                0.92629,                0.82606,                0.44811,                0.63368,                0.89835,             0.00097886,             0.00097886,             0.00097886
                     38,                0.49375,                0.52352,                0.94845,                0.92528,                 0.8645,                0.92848,                0.83457,                0.43419,                0.54924,                0.89235,               0.000966,               0.000966,               0.000966
                     39,                0.54385,                0.60214,                 0.9863,                0.92457,                0.92976,                0.96384,                0.87171,                0.46417,                0.52495,                0.90165,             0.00095314,             0.00095314,             0.00095314
                     40,                0.52837,                0.55121,                0.97021,                0.91712,                0.95275,                0.97504,                0.87977,                0.41881,                0.48345,                0.89486,             0.00094028,             0.00094028,             0.00094028
                     41,                 0.5411,                0.59819,                  1.001,                0.90542,                0.88678,                0.95931,                0.86017,                0.42607,                0.50548,                0.89823,             0.00092742,             0.00092742,             0.00092742
                     42,                0.51174,                0.54155,                0.96652,                0.84915,                0.85747,                0.94085,                0.80878,                0.44399,                0.52934,                0.90292,             0.00091456,             0.00091456,             0.00091456
                     43,                0.47438,                0.52325,                0.93451,                0.89844,                0.86746,                 0.9564,                0.85756,                0.39025,                0.48427,                0.87913,              0.0009017,              0.0009017,              0.0009017
                     44,                 0.4895,                0.49974,                0.96641,                 0.9003,                0.92148,                0.95987,                0.86717,                0.38424,                 0.4556,                0.87378,             0.00088884,             0.00088884,             0.00088884
                     45,                0.49737,                 0.5381,                0.97512,                0.95324,                0.89306,                0.96507,                 0.8638,                0.45441,                0.45435,                0.87914,             0.00087598,             0.00087598,             0.00087598
                     46,                0.45445,                0.46508,                0.92715,                0.97076,                0.92162,                0.96836,                0.87845,                 0.4039,                0.43572,                0.87016,             0.00086312,             0.00086312,             0.00086312
                     47,                0.47734,                0.49493,                0.94141,                0.90257,                0.92071,                0.96337,                0.88271,                0.37734,                 0.4362,                  0.863,             0.00085025,             0.00085025,             0.00085025
                     48,                0.51094,                0.56242,                 1.0048,                0.91941,                0.91173,                0.96969,                0.86845,                0.44122,                0.45096,                0.88077,             0.00083739,             0.00083739,             0.00083739
                     49,                0.49639,                0.48043,                0.93153,                0.91765,                0.89726,                0.96271,                0.85476,                0.46573,                0.47503,                0.89001,             0.00082453,             0.00082453,             0.00082453
                     50,                0.46125,                0.47877,                0.92432,                0.90723,                 0.8809,                0.95434,                0.85768,                0.43225,                0.47213,                 0.8851,             0.00081167,             0.00081167,             0.00081167
                     51,                0.50463,                0.48716,                0.94568,                0.89061,                 0.8917,                0.93644,                0.85222,                0.37334,                0.52399,                0.87349,             0.00079881,             0.00079881,             0.00079881
                     52,                0.49641,                0.54777,                0.97238,                0.89595,                0.92798,                0.95861,                0.86765,                0.42754,                0.51405,                0.88203,             0.00078595,             0.00078595,             0.00078595
                     53,                0.46907,                0.46065,                 0.9337,                0.93401,                0.89762,                0.96531,                0.86161,                0.42908,                0.44034,                  0.886,             0.00077309,             0.00077309,             0.00077309
                     54,                0.47536,                0.52613,                  0.953,                0.95073,                0.93353,                0.96839,                0.85778,                0.46337,                0.42927,                0.89536,             0.00076023,             0.00076023,             0.00076023
                     55,                0.48361,                0.47164,                0.97256,                0.96357,                0.93347,                0.97763,                0.88279,                0.44754,                0.40907,                 0.8846,             0.00074737,             0.00074737,             0.00074737
                     56,                0.44418,                0.43832,                 0.9421,                  0.973,                0.90584,                0.97588,                0.86321,                0.45742,                 0.4117,                0.88724,             0.00073451,             0.00073451,             0.00073451
                     57,                0.48175,                0.45975,                0.94468,                0.97423,                0.89119,                0.96856,                0.85848,                0.43476,                0.42919,                0.88876,             0.00072164,             0.00072164,             0.00072164
                     58,                0.43625,                0.47105,                0.94873,                0.97822,                0.89052,                0.96163,                0.86213,                0.41635,                 0.4181,                0.88851,             0.00070878,             0.00070878,             0.00070878
                     59,                0.43165,                0.42977,                 0.9168,                0.97872,                 0.9002,                0.96211,                 0.8716,                0.40038,                0.40742,                0.88612,             0.00069592,             0.00069592,             0.00069592
                     60,                0.46194,                0.46589,                0.96267,                0.96428,                 0.8994,                0.95558,                0.88224,                0.38685,                0.42272,                0.87688,             0.00068306,             0.00068306,             0.00068306
                     61,                0.44633,                0.42162,                0.91854,                0.95517,                0.90614,                0.95773,                0.89794,                0.37028,                0.41325,                0.86252,              0.0006702,              0.0006702,              0.0006702
                     62,                0.39528,                0.39548,                0.89683,                0.96223,                0.90893,                0.95786,                0.88418,                0.38301,                0.42376,                0.86135,             0.00065734,             0.00065734,             0.00065734
                     63,                 0.3922,                0.41169,                0.90872,                0.95698,                0.94147,                0.97585,                0.89295,                0.39104,                0.40757,                0.86608,             0.00064448,             0.00064448,             0.00064448
                     64,                 0.4145,                0.39325,                0.91419,                0.95575,                0.93009,                0.97102,                0.86651,                0.39706,                0.41586,                0.87477,             0.00063162,             0.00063162,             0.00063162
                     65,                0.40705,                0.41974,                0.91126,                0.94673,                0.92893,                0.96842,                0.86612,                0.40038,                0.41782,                0.87974,             0.00061876,             0.00061876,             0.00061876
                     66,                0.40988,                0.44976,                0.93275,                0.94412,                0.85933,                0.94079,                0.83556,                0.43581,                0.49506,                0.89673,              0.0006059,              0.0006059,              0.0006059
                     67,                0.41099,                0.42101,                0.91198,                0.92219,                0.85893,                0.93559,                0.82176,                0.46526,                0.51461,                 0.9147,             0.00059303,             0.00059303,             0.00059303
                     68,                0.39806,                0.41125,                0.91118,                0.94992,                0.87435,                0.94195,                0.81641,                0.44088,                 0.4795,                 0.9129,             0.00058017,             0.00058017,             0.00058017
                     69,                0.40564,                0.39731,                0.91156,                0.94941,                0.91548,                0.95055,                0.85425,                0.37572,                0.44822,                0.87709,             0.00056731,             0.00056731,             0.00056731
                     70,                0.40456,                0.40426,                0.89406,                0.94995,                0.89481,                0.96351,                0.87044,                0.37465,                0.40955,                0.85871,             0.00055445,             0.00055445,             0.00055445
                     71,                0.39164,                0.39031,                0.88662,                0.93195,                0.91071,                0.96745,                0.88646,                0.36026,                0.39204,                0.85925,             0.00054159,             0.00054159,             0.00054159
                     72,                0.37451,                0.38264,                0.89225,                0.93838,                0.88512,                0.95909,                0.88134,                0.35068,                0.41639,                0.85648,             0.00052873,             0.00052873,             0.00052873
